finding_id,rule,file,line,matched_text,annotator_verdict,justification
grep-b550d97f,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,790,t[3] = GAMMA1 - a->coeffs[4*i+3];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-192e9e16,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,795,r[9*i+2] |= t[1] << 2;,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-936ca7d7,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,796,r[9*i+3]  = t[1] >> 6;,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-c06f49eb,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,797,r[9*i+4]  = t[1] >> 14;,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-828c9415,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,798,r[9*i+4] |= t[2] << 4;,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-a5d1f089,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,799,r[9*i+5]  = t[2] >> 4;,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-50e7ca69,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,800,r[9*i+6]  = t[2] >> 12;,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-0bf74392,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,801,r[9*i+6] |= t[3] << 6;,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-8f12825c,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,802,r[9*i+7]  = t[3] >> 2;,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-6757ed05,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,803,r[9*i+8]  = t[3] >> 10;,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-ad1d2d2e,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,808,t[1] = GAMMA1 - a->coeffs[2*i+1];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-c254dab2,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,813,r[5*i+2] |= t[1] << 4;,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-54643281,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,814,r[5*i+3]  = t[1] >> 4;,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-3518d8ab,R01,embedded\esp32_pio\src\dilithium_internal\poly.c,815,r[5*i+4]  = t[1] >> 12;,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-b8a0a1ff,R04,embedded\esp32_pio\src\dilithium_internal\polyvec.h,32,DILITHIUM_NAMESPACE(polyvecl_pointwise_acc_montgomery),TP,Return value of cryptographic operation unchecked.
grep-de306026,R04,embedded\esp32_pio\src\dilithium_internal\sign.c,292,"crypto_sign_signature(sm, smlen, sm + CRYPTO_BYTES, mlen, sk);",TP,Return value of cryptographic operation unchecked.
grep-0807fb41,R01,embedded\esp32_pio\src\dilithium_internal\symmetric-shake.c,8,uint8_t t[2];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-6e42c901,R01,embedded\esp32_pio\src\dilithium_internal\symmetric-shake.c,10,t[1] = nonce >> 8;,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-3362e529,R01,embedded\esp32_pio\src\dilithium_internal\symmetric-shake.c,20,uint8_t t[2];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-d159c145,R01,embedded\esp32_pio\src\dilithium_internal\symmetric-shake.c,22,t[1] = nonce >> 8;,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-2c9f7fb7,R01,embedded\esp32_pio\src\dilithium_internal\symmetric.h,17,"const uint8_t key[32],",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-4577d07c,R01,embedded\esp32_pio\src\kyber_internal\compress.c,49,uint8_t t[8] = {0};,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-0eb0809a,R01,embedded\esp32_pio\src\kyber_internal\compress.c,58,r[i * 4] = t[0] | (t[1] << 4);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-a4ea09ba,R01,embedded\esp32_pio\src\kyber_internal\compress.c,59,r[i * 4 + 1] = t[2] | (t[3] << 4);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-8d0a0015,R01,embedded\esp32_pio\src\kyber_internal\compress.c,60,r[i * 4 + 2] = t[4] | (t[5] << 4);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-09e73d3b,R01,embedded\esp32_pio\src\kyber_internal\compress.c,61,r[i * 4 + 3] = t[6] | (t[7] << 4);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-6549c2fe,R01,embedded\esp32_pio\src\kyber_internal\compress.c,91,uint16_t t[4];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-e69a1fe3,R01,embedded\esp32_pio\src\kyber_internal\compress.c,105,r[5 * j + 1] = (t[0] >> 8) | ((t[1] << 2) & 0xFF);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-82243046,R01,embedded\esp32_pio\src\kyber_internal\compress.c,106,r[5 * j + 2] = (t[1] >> 6) | ((t[2] << 4) & 0xFF);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-74ad28cb,R01,embedded\esp32_pio\src\kyber_internal\compress.c,107,r[5 * j + 3] = (t[2] >> 4) | ((t[3] << 6) & 0xFF);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-adc9fddb,R01,embedded\esp32_pio\src\kyber_internal\compress.c,108,r[5 * j + 4] = (t[3] >> 2);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-aa1ca592,R01,embedded\esp32_pio\src\kyber_internal\compress.c,164,uint16_t t[4];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-a3cdd221,R01,embedded\esp32_pio\src\kyber_internal\compress.c,167,t[0] = 0x3FF & ((base[0] >> 0) | ((uint16_t)base[1] << 8));,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-cad4bea6,R01,embedded\esp32_pio\src\kyber_internal\compress.c,168,t[1] = 0x3FF & ((base[1] >> 2) | ((uint16_t)base[2] << 6));,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-785f574a,R01,embedded\esp32_pio\src\kyber_internal\compress.c,169,t[2] = 0x3FF & ((base[2] >> 4) | ((uint16_t)base[3] << 4));,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-d81331a5,R01,embedded\esp32_pio\src\kyber_internal\compress.c,170,t[3] = 0x3FF & ((base[3] >> 6) | ((uint16_t)base[4] << 2));,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-20e81a9c,R01,embedded\esp32_pio\src\kyber_internal\compress.c,213,uint8_t t[8] = {0};,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-69af4fec,R01,embedded\esp32_pio\src\kyber_internal\compress.c,227,r[i * 5] = 0xFF & ((t[0] >> 0) | (t[1] << 5));,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-6b404a2c,R01,embedded\esp32_pio\src\kyber_internal\compress.c,228,r[i * 5 + 1] = 0xFF & ((t[1] >> 3) | (t[2] << 2) | (t[3] << 7));,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-a5ee9e41,R01,embedded\esp32_pio\src\kyber_internal\compress.c,229,r[i * 5 + 2] = 0xFF & ((t[3] >> 1) | (t[4] << 4));,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-6a4958e5,R01,embedded\esp32_pio\src\kyber_internal\compress.c,230,r[i * 5 + 3] = 0xFF & ((t[4] >> 4) | (t[5] << 1) | (t[6] << 6));,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-cbe9163c,R01,embedded\esp32_pio\src\kyber_internal\compress.c,231,r[i * 5 + 4] = 0xFF & ((t[6] >> 2) | (t[7] << 3));,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-028140c9,R01,embedded\esp32_pio\src\kyber_internal\compress.c,262,uint16_t t[8];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-ad16483b,R01,embedded\esp32_pio\src\kyber_internal\compress.c,276,r[11 * j + 1] = (t[0] >> 8) | ((t[1] << 3) & 0xFF);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-5c249517,R01,embedded\esp32_pio\src\kyber_internal\compress.c,277,r[11 * j + 2] = (t[1] >> 5) | ((t[2] << 6) & 0xFF);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-b38e4333,R01,embedded\esp32_pio\src\kyber_internal\compress.c,278,r[11 * j + 3] = (t[2] >> 2) & 0xFF;,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-cdc47e47,R01,embedded\esp32_pio\src\kyber_internal\compress.c,279,r[11 * j + 4] = (t[2] >> 10) | ((t[3] << 1) & 0xFF);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-65dbcb10,R01,embedded\esp32_pio\src\kyber_internal\compress.c,280,r[11 * j + 5] = (t[3] >> 7) | ((t[4] << 4) & 0xFF);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-c997bdc3,R01,embedded\esp32_pio\src\kyber_internal\compress.c,281,r[11 * j + 6] = (t[4] >> 4) | ((t[5] << 7) & 0xFF);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-8b34ac72,R01,embedded\esp32_pio\src\kyber_internal\compress.c,282,r[11 * j + 7] = (t[5] >> 1) & 0xFF;,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-02df56a0,R01,embedded\esp32_pio\src\kyber_internal\compress.c,283,r[11 * j + 8] = (t[5] >> 9) | ((t[6] << 2) & 0xFF);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-1ebc740e,R01,embedded\esp32_pio\src\kyber_internal\compress.c,284,r[11 * j + 9] = (t[6] >> 6) | ((t[7] << 5) & 0xFF);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-ef3ee154,R01,embedded\esp32_pio\src\kyber_internal\compress.c,285,r[11 * j + 10] = (t[7] >> 3);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-6a95f8a4,R01,embedded\esp32_pio\src\kyber_internal\compress.c,312,uint8_t t[8];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-46bf4516,R01,embedded\esp32_pio\src\kyber_internal\compress.c,325,t[1] = 0x1F & ((a[offset + 0] >> 5) | (a[offset + 1] << 3));,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-6c612d7b,R01,embedded\esp32_pio\src\kyber_internal\compress.c,326,t[2] = 0x1F & (a[offset + 1] >> 2);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-2072bd90,R01,embedded\esp32_pio\src\kyber_internal\compress.c,327,t[3] = 0x1F & ((a[offset + 1] >> 7) | (a[offset + 2] << 1));,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-c9008217,R01,embedded\esp32_pio\src\kyber_internal\compress.c,328,t[4] = 0x1F & ((a[offset + 2] >> 4) | (a[offset + 3] << 4));,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-24721a45,R01,embedded\esp32_pio\src\kyber_internal\compress.c,329,t[5] = 0x1F & (a[offset + 3] >> 1);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-04bb4bfd,R01,embedded\esp32_pio\src\kyber_internal\compress.c,330,t[6] = 0x1F & ((a[offset + 3] >> 6) | (a[offset + 4] << 2));,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-cf0fe5dc,R01,embedded\esp32_pio\src\kyber_internal\compress.c,331,t[7] = 0x1F & (a[offset + 4] >> 3);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-56fe9b4a,R01,embedded\esp32_pio\src\kyber_internal\compress.c,369,uint16_t t[8];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-79fd8e2c,R01,embedded\esp32_pio\src\kyber_internal\compress.c,371,t[0] = 0x7FF & ((base[0] >> 0) | ((uint16_t)base[1] << 8));,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-8fd3c2fc,R01,embedded\esp32_pio\src\kyber_internal\compress.c,372,t[1] = 0x7FF & ((base[1] >> 3) | ((uint16_t)base[2] << 5));,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-8cb75b0e,R01,embedded\esp32_pio\src\kyber_internal\compress.c,373,t[2] = 0x7FF & ((base[2] >> 6) | ((uint16_t)base[3] << 2) |,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-ca4b6718,R01,embedded\esp32_pio\src\kyber_internal\compress.c,374,((uint16_t)base[4] << 10));,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-21e08ae4,R01,embedded\esp32_pio\src\kyber_internal\compress.c,375,t[3] = 0x7FF & ((base[4] >> 1) | ((uint16_t)base[5] << 7));,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-9656be78,R01,embedded\esp32_pio\src\kyber_internal\compress.c,376,t[4] = 0x7FF & ((base[5] >> 4) | ((uint16_t)base[6] << 4));,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-9218786b,R01,embedded\esp32_pio\src\kyber_internal\compress.c,377,t[5] = 0x7FF & ((base[6] >> 7) | ((uint16_t)base[7] << 1) |,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-af51c1d9,R01,embedded\esp32_pio\src\kyber_internal\compress.c,378,((uint16_t)base[8] << 9));,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-3a664d16,R01,embedded\esp32_pio\src\kyber_internal\compress.c,379,t[6] = 0x7FF & ((base[8] >> 2) | ((uint16_t)base[9] << 6));,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-f42356bf,R01,embedded\esp32_pio\src\kyber_internal\compress.c,380,t[7] = 0x7FF & ((base[9] >> 5) | ((uint16_t)base[10] << 3));,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-d98d5e00,R04,embedded\esp32_pio\src\kyber_internal\config.h,163,"OQS_randombytes(ptr, len);",TP,Return value of cryptographic operation unchecked.
grep-e34c770b,R04,embedded\esp32_pio\src\kyber_internal\fips202.h,64,"OQS_SHA3_shake128_inc_squeeze(OUT, (NBLOCKS)*OQS_SHA3_SHAKE128_RATE, STATE)",TP,Return value of cryptographic operation unchecked.
grep-64b23697,R04,embedded\esp32_pio\src\kyber_internal\fips202.h,67,"OQS_SHA3_shake256_inc_squeeze(OUT, (NBLOCKS)*OQS_SHA3_SHAKE256_RATE, STATE)",TP,Return value of cryptographic operation unchecked.
grep-0d9ecd18,R04,embedded\esp32_pio\src\kyber_internal\fips202x4.h,46,"OQS_SHA3_shake128_x4_inc_squeeze(OUT0, OUT1, OUT2, OUT3, (NBLOCKS)*OQS_SHA3_SHAKE128_RATE, STATE)",TP,Return value of cryptographic operation unchecked.
grep-7d7e4b4c,R04,embedded\esp32_pio\src\kyber_internal\fips202x4.h,49,"OQS_SHA3_shake256_x4_inc_squeeze(OUT0, OUT1, OUT2, OUT3, (NBLOCKS)*OQS_SHA3_SHAKE256_RATE, STATE)",TP,Return value of cryptographic operation unchecked.
grep-47a642c3,R01,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,19,shake128incctx s[4];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-26599104,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,23,OQS_SHA3_shake128_inc_init(&ctx->s[0]);,TP,Return value of cryptographic operation unchecked.
grep-8a1167f1,R01,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,24,OQS_SHA3_shake128_inc_init(&ctx->s[1]);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-2bd42a6e,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,24,OQS_SHA3_shake128_inc_init(&ctx->s[1]);,TP,Return value of cryptographic operation unchecked.
grep-57840939,R01,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,25,OQS_SHA3_shake128_inc_init(&ctx->s[2]);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-43987616,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,25,OQS_SHA3_shake128_inc_init(&ctx->s[2]);,TP,Return value of cryptographic operation unchecked.
grep-7039fb19,R01,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,26,OQS_SHA3_shake128_inc_init(&ctx->s[3]);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-39f90f21,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,26,OQS_SHA3_shake128_inc_init(&ctx->s[3]);,TP,Return value of cryptographic operation unchecked.
grep-8e38ba49,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,35,OQS_SHA3_shake128_inc_ctx_reset(&ctx->s[0]);,FP,Reset function returns void.
grep-8a40df26,R01,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,36,OQS_SHA3_shake128_inc_ctx_reset(&ctx->s[1]);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-da923783,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,36,OQS_SHA3_shake128_inc_ctx_reset(&ctx->s[1]);,FP,Reset function returns void.
grep-e7ab4975,R01,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,37,OQS_SHA3_shake128_inc_ctx_reset(&ctx->s[2]);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-6713325d,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,37,OQS_SHA3_shake128_inc_ctx_reset(&ctx->s[2]);,FP,Reset function returns void.
grep-fa71a911,R01,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,38,OQS_SHA3_shake128_inc_ctx_reset(&ctx->s[3]);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-c28272d1,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,38,OQS_SHA3_shake128_inc_ctx_reset(&ctx->s[3]);,FP,Reset function returns void.
grep-bae0c456,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,40,"OQS_SHA3_shake128_inc_absorb(&ctx->s[0], in0, inlen);",TP,Return value of cryptographic operation unchecked.
grep-e9ec3dbe,R01,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,41,"OQS_SHA3_shake128_inc_absorb(&ctx->s[1], in1, inlen);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-15091e81,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,41,"OQS_SHA3_shake128_inc_absorb(&ctx->s[1], in1, inlen);",TP,Return value of cryptographic operation unchecked.
grep-2893fbdf,R01,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,42,"OQS_SHA3_shake128_inc_absorb(&ctx->s[2], in2, inlen);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-96d19f53,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,42,"OQS_SHA3_shake128_inc_absorb(&ctx->s[2], in2, inlen);",TP,Return value of cryptographic operation unchecked.
grep-5caff6e8,R01,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,43,"OQS_SHA3_shake128_inc_absorb(&ctx->s[3], in3, inlen);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-7fa5a067,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,43,"OQS_SHA3_shake128_inc_absorb(&ctx->s[3], in3, inlen);",TP,Return value of cryptographic operation unchecked.
grep-72c94253,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,45,OQS_SHA3_shake128_inc_finalize(&ctx->s[0]);,TP,Return value of cryptographic operation unchecked.
grep-90df941d,R01,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,46,OQS_SHA3_shake128_inc_finalize(&ctx->s[1]);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-8019c568,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,46,OQS_SHA3_shake128_inc_finalize(&ctx->s[1]);,TP,Return value of cryptographic operation unchecked.
grep-171f264a,R01,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,47,OQS_SHA3_shake128_inc_finalize(&ctx->s[2]);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-2c85566a,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,47,OQS_SHA3_shake128_inc_finalize(&ctx->s[2]);,TP,Return value of cryptographic operation unchecked.
grep-03906079,R01,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,48,OQS_SHA3_shake128_inc_finalize(&ctx->s[3]);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-a90df80f,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,48,OQS_SHA3_shake128_inc_finalize(&ctx->s[3]);,TP,Return value of cryptographic operation unchecked.
grep-44efae37,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,58,"OQS_SHA3_shake128_inc_squeeze(out0, outlen, &ctx->s[0]);",TP,Return value of cryptographic operation unchecked.
grep-cd28e82b,R01,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,59,"OQS_SHA3_shake128_inc_squeeze(out1, outlen, &ctx->s[1]);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-15ac6fd8,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,59,"OQS_SHA3_shake128_inc_squeeze(out1, outlen, &ctx->s[1]);",TP,Return value of cryptographic operation unchecked.
grep-e99897cd,R01,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,60,"OQS_SHA3_shake128_inc_squeeze(out2, outlen, &ctx->s[2]);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-27d5dea8,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,60,"OQS_SHA3_shake128_inc_squeeze(out2, outlen, &ctx->s[2]);",TP,Return value of cryptographic operation unchecked.
grep-a44b7237,R01,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,61,"OQS_SHA3_shake128_inc_squeeze(out3, outlen, &ctx->s[3]);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-bc3a6c26,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,61,"OQS_SHA3_shake128_inc_squeeze(out3, outlen, &ctx->s[3]);",TP,Return value of cryptographic operation unchecked.
grep-cb9ba959,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,65,OQS_SHA3_shake128_inc_ctx_release(&ctx->s[0]);,FP,Cleanup/free functions do not require error checking.
grep-fcad0bac,R01,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,66,OQS_SHA3_shake128_inc_ctx_release(&ctx->s[1]);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-6efcb494,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,66,OQS_SHA3_shake128_inc_ctx_release(&ctx->s[1]);,FP,Cleanup/free functions do not require error checking.
grep-af51cf53,R01,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,67,OQS_SHA3_shake128_inc_ctx_release(&ctx->s[2]);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-a6df803f,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,67,OQS_SHA3_shake128_inc_ctx_release(&ctx->s[2]);,FP,Cleanup/free functions do not require error checking.
grep-90111843,R01,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,68,OQS_SHA3_shake128_inc_ctx_release(&ctx->s[3]);,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-145cf580,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,68,OQS_SHA3_shake128_inc_ctx_release(&ctx->s[3]);,FP,Cleanup/free functions do not require error checking.
grep-9a26ddcc,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,81,"OQS_SHA3_shake256(out0, outlen, in0, inlen);",TP,Return value of cryptographic operation unchecked.
grep-183032e4,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,82,"OQS_SHA3_shake256(out1, outlen, in1, inlen);",TP,Return value of cryptographic operation unchecked.
grep-e222f673,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,83,"OQS_SHA3_shake256(out2, outlen, in2, inlen);",TP,Return value of cryptographic operation unchecked.
grep-55ccd5f8,R04,embedded\esp32_pio\src\kyber_internal\fips202x4_stub.h,84,"OQS_SHA3_shake256(out3, outlen, in3, inlen);",TP,Return value of cryptographic operation unchecked.
grep-c6b259d5,R01,embedded\esp32_pio\src\kyber_internal\indcpa.c,214,MLK_ALIGN uint8_t seed_ext[4][MLK_ALIGN_UP(MLKEM_SYMBYTES + 2)];,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-4532a504,R01,embedded\esp32_pio\src\kyber_internal\indcpa.c,363,"mlk_poly_getnoise_eta1_4x(&skpv[0], &skpv[1], &e[0], &e[1], noiseseed, 0, 1,",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-9a623831,R01,embedded\esp32_pio\src\kyber_internal\indcpa.c,370,"mlk_poly_getnoise_eta1_4x(&skpv[0], &skpv[1], &skpv[2],",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-aae345f5,R01,embedded\esp32_pio\src\kyber_internal\indcpa.c,374,"mlk_poly_getnoise_eta1_4x(&e[0], &e[1], &e[2], &pkpv[0] /* irrelevant */,",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-ca387041,R01,embedded\esp32_pio\src\kyber_internal\indcpa.c,377,"mlk_poly_getnoise_eta1_4x(&skpv[0], &skpv[1], &skpv[2], &skpv[3], noiseseed,",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-5873af68,R01,embedded\esp32_pio\src\kyber_internal\indcpa.c,379,"mlk_poly_getnoise_eta1_4x(&e[0], &e[1], &e[2], &e[3], noiseseed, 4, 5, 6, 7);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-e2660457,R01,embedded\esp32_pio\src\kyber_internal\indcpa.c,440,"mlk_poly_getnoise_eta1122_4x(&sp[0], &sp[1], &ep[0], &ep[1], coins, 0, 1, 2,",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-a7a7ee75,R01,embedded\esp32_pio\src\kyber_internal\indcpa.c,448,"mlk_poly_getnoise_eta1_4x(&sp[0], &sp[1], &sp[2], &b[0], coins, 0, 1, 2,",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-597f0b44,R01,embedded\esp32_pio\src\kyber_internal\indcpa.c,451,"mlk_poly_getnoise_eta2_4x(&ep[0], &ep[1], &ep[2], &epp, coins, 3, 4, 5, 6);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-7c474bd5,R01,embedded\esp32_pio\src\kyber_internal\indcpa.c,453,"mlk_poly_getnoise_eta1_4x(&sp[0], &sp[1], &sp[2], &sp[3], coins, 0, 1, 2, 3);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-0d011d0b,R01,embedded\esp32_pio\src\kyber_internal\indcpa.c,454,"mlk_poly_getnoise_eta2_4x(&ep[0], &ep[1], &ep[2], &ep[3], coins, 4, 5, 6, 7);",TP,Small buffer/macro identified for potentially asymmetric key material.
grep-c1f17494,R01,embedded\esp32_pio\src\kyber_internal\params.h,33,"#define MLKEM_SYMBYTES 32 /* size in bytes of hashes, and seeds */",FP,Hash/MAC buffers do not require expansion for PQC.
grep-1dcec72d,R01,embedded\esp32_pio\src\kyber_internal\params.h,34,#define MLKEM_SSBYTES 32  /* size in bytes of shared key */,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-d3478246,R01,embedded\esp32_pio\src\kyber_internal\params.h,36,#define MLKEM_POLYBYTES 384,TP,Small buffer/macro identified for potentially asymmetric key material.
grep-2f78ed07,R01,embedded\esp32_pio\src\kyber_internal\poly.h,33,* coeffs[0] + X*coeffs[1] + X^2*coeffs[2] + ... + X^{n-1}*coeffs[n-1],TP,Small buffer/macro identified for potentially asymmetric key material.
